用户名,粉丝数量,视频数量,用户简介
电影解说,724,0,发现好解说
船长电影解说,52.1万,1100,bilibili知名影视UP主
闯哥电影解说,12.7万,154,闯哥电影解说官方账号
下饭电影解说,2300,159,影视UP主老麦说电影
扒点电影解说,1166,74,扒点影视解说官方账号
表哥爱电影解说,5.4万,1278,解说各路电影总有一部电影会走进你的内心如果有你喜欢的作品就请关注一下吧。
小熊電影解说,4.4万,38,✨专业解说各类影视第三人称✨感谢你的三连鼓励，风格多样～总能给你带来惊喜！❤️
胡赞电影解说,2.9万,2090,故事，是生活的比喻……专注于解说分享有趣，有料，有知识的影片!如有侵权请联系up主删除，谢谢……
主观电影解说,2.8万,60,电影是生活的主观比喻
玄子电影解说,2.0万,375,我讲你看，喜欢你就点个赞，欢迎关注！搬运必究！
大海战争电影解说,1.9万,590,
电影解说大咖,1.9万,63,几分钟电影，满满轻松与搞笑！有什么问题欢迎私信我！vx：xcwm12
K迪电影解说,1.9万,656,更新的剧如果点赞太少，就考虑换剧了。我的主页哪几类朋友可以关注我，首先喜欢美剧，对哲学思想喜欢探讨的，对人性善恶喜欢追求的，喜欢自学中医
鸭鸭经典电影解说,1.8万,288,生活随苦，可是也要努力鸭
高分电影解说Flims,1.5万,734,专注解说，侵权请联系删除。小号科幻追星社更精彩
晓艺电影解说,1.0万,517,每天选片8小时只为输出更精彩的作品欢迎大家一起看剧专注狗头文化
冷先生电影解说,1.0万,436,
犯叔电影解说,9747,507,感谢关注，感谢平台
小花电影解说,7869,235,
阿星电影解说,7355,43,所有作品仅代表自身观点，你有不同意见我也不反驳。
周星星电影解说,6997,2205,每日更新热门电影电视剧~如有侵权，请联系up主~
流年电影解说,6826,3,bilibili知名影视up主
大家电影解说,6817,196,欢乐的喵星人，给你带来不一样的快乐
瓢虫电影解说,6593,141,我的视频很精彩，真的！
毒邪电影解说,6016,539,
猪八戒电影解说,5428,1731,游戏剪辑是一门融合游戏设计与视频编辑的创意职业，负责将游戏精彩瞬间转化为视觉盛宴。
小专员电影解说,5420,184,专注电影盘点，总有一部你喜欢！
石榴电影解说,5001,70,沉浸在电影世界，体会百态人生！
南瓜电影解说,4588,225,
荣姨电影解说,4395,343,
独白电影解说,4035,97,咸鱼解说，不更新的时候就是在打工～
大眼侃电影解说,3883,477,这是一个逗比电影解说人
怡宝电影解说,3681,118,感谢关注，祝大家龙年行大运。
