序号,名字,作品数,粉丝数,关注数,简介,主页链接
1,未获取到,,,,,https://www.kuaishou.com/profile/3x8pghx4hwaye5c
2,影视解说,869,2.7万,66,🔥感谢快手平台 🔥感谢大家的关注 🔥每天不断更新,https://www.kuaishou.com/profile/3x3wjiirp5fbc89
3,影视解说     .,0,36.6万,23,感谢大家的支持 每天更新精彩视频,https://www.kuaishou.com/profile/3xyifrxfaxgv3y4
4,Kisa影视解说,8,45.8万,864,感谢快手绿色平台 ❤️视频源于网络，如有侵权，请联系删除谢谢❤️,https://www.kuaishou.com/profile/3xnn2cmws57aznk
5,w影视解说,63,13.9万,131,❤️学影视剪辑 影视直播 私信 ❤️ 感 谢 关 注  感 谢 点 赞  ❤️精彩剧情每日不定时更新,https://www.kuaishou.com/profile/3x95zfhdd7yh5ua
6,影视解说,1576,151.8万,67,一部电影|一个故事 感谢快手|感谢关注,https://www.kuaishou.com/profile/3xuipqhccp6tytc
7,影视解说,275,5.6万,5,喜欢影视，每天更新,https://www.kuaishou.com/profile/3xvcp2u88dwsmts
8,JQ❤️影视解说,6,22.5万,329,,https://www.kuaishou.com/profile/3xtwdvhfbxrb3sq
9,影视解说,310,8.3万,65,总有一部好剧值得让你慢慢品味 精挑细剪 持续更新 如有侵权 联系删除 感恩官方 感谢快手 感谢关注,https://www.kuaishou.com/profile/3xfxdik7bm73bn4
10,影视解说,509,5.5万,2875,❤️每日分享热门短句 ❤️感谢官方提供的绿色平台 ❤️看精彩短剧 ❤️左下角链接看全集,https://www.kuaishou.com/profile/3xu9hwbdxbmcs39
11,黑手影视解说,187,11.5万,7,收徒，商务。sac1661 注明来意,https://www.kuaishou.com/profile/3xa9h6zmzq3gje6
12,影视解说,380,9.7万,67,专业剪辑手！（收徒）  视频左🦐方可看全集  交流/学习：RuoYSJS,https://www.kuaishou.com/profile/3xfx2wxwhp6esf2
13,影视解说,178,2.1万,4,❤️‍🔥专注影视剧混剪，解说。 🔥关注我一起追剧，每天不剧荒。 ❣️承蒙厚爱，感谢支持。,https://www.kuaishou.com/profile/3xd6nff82yigujc
14,树皮电影解说,3.1万,74.3万,7,兴趣爱好：学校：职业：,https://www.kuaishou.com/profile/3xsz7d3uhyhsvwa
15,牧鱼影视解说,672,48万,50,专注于影视解说爱好者,https://www.kuaishou.com/profile/3x8wdtajwqskw8a
16,影视解说,603,4.3万,266,宁静致远,https://www.kuaishou.com/profile/3xppiaxt8nnmfek
