序号,名字,作品数,粉丝数,关注数,简介,主页链接
1,毒舌电影,1419,1019.7万,28,看电影，可以改变人生。,https://www.kuaishou.com/profile/3xa9z5c96tm86pm
2,咸鱼电影,2348,287.2万,39,没事就看看电影吧🍏 承蒙厚爱 侵权联删🍏,https://www.kuaishou.com/profile/3xvy8b3tg6rsxza
3,电影解说,2,6167,49,,https://www.kuaishou.com/profile/3xfgwa9qxvieb6e
4,电影解说,134,4.6万,28,⭐感谢快手官方平台 ⭐一个爱电影的人 ⭐用心做好每一个影视作品,https://www.kuaishou.com/profile/3x7tcbsukj763us
5,电影解说,115,7140,11,谢谢你们的关注，持续更新,https://www.kuaishou.com/profile/3x4knycuyjtzb9c
6,电影解说,907,1.7万,38,,https://www.kuaishou.com/profile/3x4iujuiq4kpg22
7,电影解说,183,1.3万,479,专注于猎杀、猎奇、悬疑的电影解说,https://www.kuaishou.com/profile/3xj2zaebstzkz3i
8,Tilbayan电影解说,593,1.1万,10,🎉热爱电影，热爱生活🎉  📽每一部电影就是一个人生📽       ♥感谢您的喜欢♥ V ： tilbayan1,https://www.kuaishou.com/profile/3xrc5sd2re3a6b6
9,电影解说,222,1.3万,143,,https://www.kuaishou.com/profile/3xxfjs93u7u27na
10,电影解说,456,3.8万,5,🍭感谢大家喜欢我的作品 🎬影视解说 🍿️持续更新中,https://www.kuaishou.com/profile/3x2kafzntqbpjb2
11,电影解说,152,6012,21,salon:gilastv  感谢快手平台 我是一名影视剪辑爱好者 每天更新精彩内容 喜欢的点赞关注 谢谢你们的支持,https://www.kuaishou.com/profile/3xwmrf4kmsj8a8k
12,船长电影解说,3747,399.9万,38,,https://www.kuaishou.com/profile/3x8hj4nnbecvc5w
13,电影解说,378,1.8万,10,每日电影推荐  ||   关注我，告别片荒,https://www.kuaishou.com/profile/3xc7wabqabdsp24
14,电影解说,24,1.1万,17,,https://www.kuaishou.com/profile/3xva3wr3e879vu2
15,9527电影解说,208,1.2万,303,点点关注，继续分享,https://www.kuaishou.com/profile/3x6hmjkzmahew8i
16,电影解说,170,1.1万,19,正能量 每日更新 喜欢的点个赞点个关注 粉丝团企鹅🐧812905281,https://www.kuaishou.com/profile/3xtvuhcskc3ecva
17,♠️A电影解说,0,3.9万,17,,https://www.kuaishou.com/profile/3xnn4ddnx8gx3b9
18,电影解说,361,1.8万,30,。。。。,https://www.kuaishou.com/profile/3x4jg57695a868k
19,电影解说,191,1004,3339,🔥关注我，每天更新热门短 剧。好看的短 剧，希望大家多多与我评论区互动。拯救剧荒，推荐的每一部剧都是经过筛选。  ☀感谢平台以及官方大大的支持,https://www.kuaishou.com/profile/3x7hwgduw5gvsre
20,电影解说,2,9076,70,一起看电影QQ1479333793,https://www.kuaishou.com/profile/3xtmjxm93d7q2me
21,电影解说tyh！,2,145,443,你喜欢Kiss吗孩子们！,https://www.kuaishou.com/profile/3xu5d52ud6t8fwa
22,电影解说,9,1.1万,451,感谢快手平台,https://www.kuaishou.com/profile/3xcze8r6bwuv5jk
23,小侠夜班车,3861,530.7万,33,2025精彩继续 有灵魂的解说，可以把电影变得很有趣 侠影江湖，人生如场戏 快意恩仇，慢品其中意 商务合作：19957827255,https://www.kuaishou.com/profile/3xa5kxavziccjxw
24,电影解说,31,9908,135,宠粉丝，每天更新电影，感谢你们的观看，希望老铁们能给个关注，谢谢你们。,https://www.kuaishou.com/profile/3x5wqufghwgmvye
25,猛虎电影,1157,148.1万,12,,https://www.kuaishou.com/profile/3xw9uxynkzdrpvi
26,电影.解说,502,9798,710,此号转卖！！,https://www.kuaishou.com/profile/3xnkycyhwmma484
27,电影解说,0,314,1018,,https://www.kuaishou.com/profile/3x7vqgpttyzn7wq
28,829电影解说,32,8878,52,少侠留步！   今天你  莲   网上吗 破奇案   赏打戏   谈人生   养萌宠 百无禁忌  楼上入坐   正在热播中,https://www.kuaishou.com/profile/3xmti2b3euft996
29,晓艺电影解说收徒中,700,183.9万,19,❤️惊悚悬疑科幻影界探秘者❤️           创作不易  搬运必究 学习/合作：lybforever【注明来意】,https://www.kuaishou.com/profile/3xtstprdzdgwy72
30,火龙果讲电影,898,445.6万,73,一个讲故事的人 商务/学习film668822,https://www.kuaishou.com/profile/3xicehf6v2rt8tk
31,TA,0,1万,1,,https://www.kuaishou.com/profile/3x56tbegstv4gty
32,船長电影解说,213,27.4万,26,每一次的扬帆起航都是奔竞不息的奋斗 用心解说每一部电影,https://www.kuaishou.com/profile/3xdnvavfnypvg52
33,毒霸电影解说阿明,214,24.9万,1257,🇨🇳每天更新精彩片段 🇨🇳带你追剧走向人   👉感谢官方感谢快手👉点头像加关注,https://www.kuaishou.com/profile/3xhrrp45apswdxg
34,电影解说,0,1,1,,https://www.kuaishou.com/profile/3xeuj5c8fxnbnxg
35,神马东锡电影,1595,439.2万,18,一个喜欢讲故事的人。 感谢你与「神」同行。,https://www.kuaishou.com/profile/3xitqr9k7db4myw
36,菓菓电影解说,35,92.9万,43,,https://www.kuaishou.com/profile/3x9djkt3ka4usmy
37,诚佳电影解说,576,27.1万,46,🍇无人直播 影视剪辑 各种直播加白 🍇想学习的联系我 ❤感谢快手官方，感谢大家关注        ❤️  v  13292888877,https://www.kuaishou.com/profile/3xu9jgbuc9jiveg
38,电影解说,5,240,313,90后奇女子 爱分享，多愁善感，懂点心理学 电影解说 粤语分享,https://www.kuaishou.com/profile/3xcdmk7nmzr9p4w
39,EQ电影解说,1,2.1万,6,✨感谢快手平台✨ ✨关注我，让你告别片荒✨ ✨承蒙厚爱感谢关注感谢❤️✨,https://www.kuaishou.com/profile/3x29hihvevbtybq
40,小杰电影解说,334,29.9万,29,影视解说  影视剪辑 支持原创  拒绝搬运 持续更新  精彩视频,https://www.kuaishou.com/profile/3xnnrd3r3buzw66
41,电影解说女汉子,39,8128,90,花店不开🌺  花继续开🌺 关注不迷路,https://www.kuaishou.com/profile/3x4jy9qccbagd3m
42,笑嘻嘻电影解说,1,10,3,一个热爱电影解说的新人，希望大家多多支持,https://www.kuaishou.com/profile/3xfm92yjhfqb3z2
43,闯哥电影解说,644,98.4万,11,闯哥个人V就是快手号，只加粉丝，商务勿扰,https://www.kuaishou.com/profile/3xk7shybyumz6ae
44,黑龙眼电影解说,554,7.6万,26,看电影告别寂寞 看电影改变人生,https://www.kuaishou.com/profile/3x9nzmcg5uus979
45,小班班电影,1620,132.9万,64,找优质剪辑一名，注意是有经验，有合作过的博主，会pr，小白勿扰。+：dsb92wyl,https://www.kuaishou.com/profile/3xpuxh6ddrgwx8g
46,小丁电影解说,303,46.8万,51,🎥每一部电影 💎都是一个故事 💎关注我 💎带你走进更多精彩故事 商 mayidianying666,https://www.kuaishou.com/profile/3xvyguuz49cryrq
47,小跃电影解说,973,70.6万,10,🔥感谢你们的关注❤️ 🔥每天更新各种奇闻异事故事❤️ ❤️感谢官方❤️感谢快手,https://www.kuaishou.com/profile/3xc4nkujmh9m7g4
48,毒蛇解说,486,321.8万,119,商务合作请私信 如有侵权，联系必删🙏,https://www.kuaishou.com/profile/3x43xs9ppafvm3g
49,毒心电影解说,402,24万,31,不一样的观影 不一样的人生,https://www.kuaishou.com/profile/3xqn59awut76w6s
50,剧本电影解说,1,12,14,,https://www.kuaishou.com/profile/3xzxs8zdwvbarc4
51,电影解说,7,4,6,观影徕裙⬇️ 人生一世，草木一秋 每个人都有对电影的理解,https://www.kuaishou.com/profile/3xerz57v4wtaf5k
52,吴六一电影解说,276,43.3万,116,百万宝妈3期29班-小宋,https://www.kuaishou.com/profile/3xkwbvm7ibs5evw
